# Generated by PyFunceble (v4.2.29.dev) / https://pyfunceble.github.io
# Date of generation: 2025-03-23T13:33:10.282083+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
NameCheap, Inc.                13%          6           
CloudFlare, Inc.               9%           4           
1API GmbH                      4%           2           
Cloudflare, Inc.               4%           2           
DreamHost, LLC                 4%           2           
Dynadot Inc                    4%           2           
Gandi SAS                      4%           2           
Go Daddy, LLC                  4%           2           
GoDaddy.com, LLC               4%           2           
IONOS SE                       4%           2           
NAMECHEAP                      4%           2           
NICENIC INTERNATIONAL GROUP CO., LIMITED 4%           2           
Namecheap                      4%           2           
Porkbun LLC                    4%           2           
REGRU-RU                       4%           2           
NameCheap, Inc.                13%          6           
CloudFlare, Inc.               9%           4           
1API GmbH                      4%           2           
Cloudflare, Inc.               4%           2           
DreamHost, LLC                 4%           2           
Dynadot Inc                    4%           2           
Gandi SAS                      4%           2           
Go Daddy, LLC                  4%           2           
GoDaddy.com, LLC               4%           2           
IONOS SE                       4%           2           
NAMECHEAP                      4%           2           
NICENIC INTERNATIONAL GROUP CO., LIMITED 4%           2           
Namecheap                      4%           2           
Porkbun LLC                    4%           2           
REGRU-RU                       4%           2           
