idna_subject,checker_type,destination,source,tested_at,session_id
0.datadog.pool.ntp.org,AVAILABILITY,domains.list,domains.list,2026-08-18 11:10:50.192295+00:00,6875fa1ad7e01ef79d63539e
1.datadog.pool.ntp.org,AVAILABILITY,domains.list,domains.list,2026-08-18 11:11:12.293745+00:00,6875fa1ad7e01ef79d63539e
1337x.cz,AVAILABILITY,domains.list,domains.list,2026-08-18 11:11:15.101998+00:00,6875fa1ad7e01ef79d63539e
2.datadog.pool.ntp.org,AVAILABILITY,domains.list,domains.list,2026-08-18 11:11:24.763373+00:00,6875fa1ad7e01ef79d63539e
3.datadog.pool.ntp.org,AVAILABILITY,domains.list,domains.list,2026-08-18 11:11:47.537452+00:00,6875fa1ad7e01ef79d63539e
4k-stream-tv01.blogspot.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:12:03.276423+00:00,6875fa1ad7e01ef79d63539e
a.aberatii.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:12:19.589746+00:00,6875fa1ad7e01ef79d63539e
ad-api.gl-inet.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:12:33.819193+00:00,6875fa1ad7e01ef79d63539e
adplay.ru,AVAILABILITY,domains.list,domains.list,2026-08-18 11:12:41.819614+00:00,6875fa1ad7e01ef79d63539e
ads.schmoozecom.net,AVAILABILITY,domains.list,domains.list,2026-08-18 11:13:16.881473+00:00,6875fa1ad7e01ef79d63539e
ads.talkscreativity.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:13:25.464413+00:00,6875fa1ad7e01ef79d63539e
adsc.wpcdn.pl,AVAILABILITY,domains.list,domains.list,2026-08-18 11:13:37.458813+00:00,6875fa1ad7e01ef79d63539e
adt.ad-spire.net,AVAILABILITY,domains.list,domains.list,2026-08-18 11:13:45.345930+00:00,6875fa1ad7e01ef79d63539e
airlogak.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:13:53.861441+00:00,6875fa1ad7e01ef79d63539e
analytics-eu.tactilews.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:14:01.841752+00:00,6875fa1ad7e01ef79d63539e
analytics.atom.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:14:28.093132+00:00,6875fa1ad7e01ef79d63539e
analytics.bio.link,AVAILABILITY,domains.list,domains.list,2026-08-18 11:14:45.039655+00:00,6875fa1ad7e01ef79d63539e
analytics.filen.io,AVAILABILITY,domains.list,domains.list,2026-08-18 11:14:47.305197+00:00,6875fa1ad7e01ef79d63539e
analytics.infomaniak.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:14:54.567897+00:00,6875fa1ad7e01ef79d63539e
analytics.wifi4games.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:15:13.246271+00:00,6875fa1ad7e01ef79d63539e
analyticsinsights-pa.googleapis.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:15:46.733944+00:00,6875fa1ad7e01ef79d63539e
analyticssearch-pa.googleapis.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:16:14.778677+00:00,6875fa1ad7e01ef79d63539e
apemc85.fr,AVAILABILITY,domains.list,domains.list,2026-08-18 11:16:17.125580+00:00,6875fa1ad7e01ef79d63539e
api.ban.su,AVAILABILITY,domains.list,domains.list,2026-08-18 11:16:36.781979+00:00,6875fa1ad7e01ef79d63539e
app.ne16.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:16:57.619069+00:00,6875fa1ad7e01ef79d63539e
aptina.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:17:00.861658+00:00,6875fa1ad7e01ef79d63539e
b.kate.vse42.ru,AVAILABILITY,domains.list,domains.list,2026-08-18 11:17:21.814834+00:00,6875fa1ad7e01ef79d63539e
ban.su,AVAILABILITY,domains.list,domains.list,2026-08-18 11:17:53.611811+00:00,6875fa1ad7e01ef79d63539e
bifrost-api.hotstar.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:18:40.105528+00:00,6875fa1ad7e01ef79d63539e
bootcdn.net,AVAILABILITY,domains.list,domains.list,2026-08-18 11:18:42.633414+00:00,6875fa1ad7e01ef79d63539e
bootcss.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:18:44.132123+00:00,6875fa1ad7e01ef79d63539e
brewe.sh,AVAILABILITY,domains.list,domains.list,2026-08-18 11:18:51.150712+00:00,6875fa1ad7e01ef79d63539e
browser-intake-datadoghq.eu,AVAILABILITY,domains.list,domains.list,2026-08-18 11:18:52.461140+00:00,6875fa1ad7e01ef79d63539e
carrick.advoncommerce.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:19:04.082208+00:00,6875fa1ad7e01ef79d63539e
castledownload.pro,AVAILABILITY,domains.list,domains.list,2026-08-18 11:19:11.553277+00:00,6875fa1ad7e01ef79d63539e
cdn.bootcss.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:19:41.420905+00:00,6875fa1ad7e01ef79d63539e
cdn.debugbear.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:19:49.771785+00:00,6875fa1ad7e01ef79d63539e
cdn.hypershort.com,AVAILABILITY,domains.list,domains.list,2026-08-18 11:20:06.852734+00:00,6875fa1ad7e01ef79d63539e
